,NVCClass,NVCGroup,nGroupTotalCells,PAD1,PAD2,PAD3,PAD4,PAD1 km2,PAD2 km2,PAD3 km2,PAD4 km2,% Protected 1 & 2,"% Protected 1, 2 & 3"
18,Forest & Woodland,California Montane Conifer Forest & Woodland,72633168,9151293.0,1571633.0,39961937.0,21948305.0,8236.1637,1414.4696999999999,35965.7433,19753.4745,14.763125849061135,69.78198032061606
19,Shrub & Herb Vegetation,California Vernal Pool,4879,0.0,144.0,1546.0,3189.0,0.0,0.1296,1.3914,2.8701,2.9514244722279157,34.638245542119286
20,Forest & Woodland,Californian Broadleaf Forest & Woodland,46966984,1743685.0,2447150.0,11361384.0,31414765.0,1569.3165,2202.435,10225.2456,28273.2885,8.922938292141561,33.11308854747838
21,Shrub & Herb Vegetation,Californian Coastal Beach & Dune,156794,11577.0,32578.0,47654.0,64985.0,10.4193,29.3202,42.8886,58.4865,28.16115412579563,58.55389874612549
22,Forest & Woodland,Californian Conifer Forest & Woodland,390651,9454.0,47697.0,78714.0,254786.0,8.5086,42.927299999999995,70.8426,229.3074,14.629682248349548,34.77912510143325
23,Shrub & Herb Vegetation,Californian Maritime Chaparral,16866,6.0,2002.0,4001.0,10857.0,0.0054,1.8017999999999998,3.6008999999999998,9.7713,11.905608917348513,35.6278904304518
24,Shrub & Herb Vegetation,Californian Mesic & Pre-montane Chaparral,1014827,234224.0,36957.0,387639.0,356007.0,210.8016,33.2613,348.8751,320.4063,26.721894470683182,64.91943947096401
25,Forest & Woodland,Californian Moist Coastal Mixed Evergreen Forest,10379400,1060371.0,609728.0,4441978.0,4267323.0,954.3339,548.7552,3997.7801999999997,3840.5906999999997,16.090515829431375,58.886611942886866
26,Shrub & Herb Vegetation,Californian Native Perennial Grassland,38843648,965711.0,2238567.0,3855246.0,31784124.0,869.1399,2014.7103,3469.7214,28605.7116,8.249168564188409,18.17420444135422
27,Shrub & Herb Vegetation,Californian North Coastal & Mesic Scrub,205020,17935.0,26630.0,21128.0,139327.0,16.1415,23.967,19.0152,125.3943,21.736903716710565,32.04223978148473
